locality
Sodepur
south dum dum
Sector 22
Lake Gardens
Dhapa
Dum Dum
Kankurgachi
Kasba
Sarsuna
Mukundapur
Joka
Jadavpur
Nayabad
Santoshpur
Jodhpur Park
Ganguly Bagan
Panihati
New Town
Rahara
Bansdroni
Salt Lake City
Santragachi
Madhyamgram
Picnic Garden
Dankuni
New Barrakpur
Tollygunge
Haltu
Uluberia
Baguihati
Maniktala
Konnagar
Bhowanipore
Kamalgazi
Kamdahari
Jagadishpur
Agarpara
Thakurpukur
Beliaghata
Madurdaha Hussainpur
Kaikhali
Gupta Colony
birati
Gariahat
Ward No 113
Shibpur
Howrah Railway Station
Behala
New Alipore
Rajarhat
Ichhapur Defence Estate
Uttarpara Kotrung
Sector 25
Keshtopur
Garia
Bhawanipur
Topsia
Howrah
Bramhapur
Netaji Nagar
Regent Park
Tagore Park
Alipore
kalikapura
Paschim Putiary
Baghajatin
Patuli
VIP Nagar
Dunlop
Tiljala
Barrackpore
Chinar Park
Lake Town
Kamardanga
East Kolkata Township
sahakara nagar
Saha Para
Pancha Sayar
Narendrapur
Kalighat
Ballygunge
Barasat
Elgin
Hussainpur
Bhatpara
Tangra
Kustia
Golf Green
Park Street Area
Airport
Peenya
Dhakuria
Bhatenda
Barisha Purba Para Road
Sonarpur
Maheshtala
Kalikapur
Ashok Nagar
Sant Nagar
Baguiati
Phool Bagan
Belghoria
Ariadaha
Dakshineswar
Kamarhati on BT Road
Purba Putiary
Garfa
Ghosh Para
Entally
Taltala
Ram Nagar
Liluah
Pansila
raghunathpur
Chingrighata Flyover
Sector IV Salt Lake
Sector 5
deshbandhu nagar
Dum Dum Metro
New Garia
Lake View Road
Shreebhumi
Chingrighata
Prince Anwar Shah Rd
Parnashree
Radhanath Chowdhury Road
Nayabad Daspara
Convent Road
Selimpur
Camac Street
Parnasree Pally
Sector II - Salt Lake
Behala Thana
Sealdah
Nager Bazar
Elliot Road
Bosepukur
Nr Ballygunge circular road
Sunny Park
Elgin Road
Minto Park
Khidirpur
East Topsia
Action Area I
Jadavpur Central Road
Behala Sakher Bazar
Bijoygarh
Budge Budge
Action Area I Newtown
Picnic Garden Road
Southern Avenue
Rash Behari
Hindustan Park
Sulekha
Dasnagar
Anandapur
Dhakuria Station Road
Golpark
Mudially
E M Bypass
Baranagar
Naktala
Naktala Road
Shyamnagar
Salkia
Noapara
Dum Dum Cantonment
James Long Sarani Behala
Barisha
Old Seemapuri
EM Bypass South East
Bonhooghly on BT Road
Dhadka
Bangur avenue
rajarhat newtown
Mahisbathan Kolkata
Survey Park
Kuldiha
Bijoygarh Sree Colony
Ichlabad
Botanical Garden Area
Kona Expressway
Park Circus
Kestopur
Bow Bazaar
Lake Terrace Road
Dum Dum Park
Kabardanga
Rishra
Ultadanga
Andul
Behala Manton
Behala Chowrasta
Serampore
Kalyani
Hridaypur
Salap
Mourigram
M G ROAD Haridevpur
Selimpur Road
Baguiati Hela Battala
Jagatdal
Baishali Park
Ripon street
Dum Dum Road
Sheoraphuli
Shyambazar
Topsia Road
Beleghata Main Road
Bhadreswar
Bally
Bapuji Nagar
Rodkol Road
Shyamnagar Road
Kasba Siemens
R B Connector
Jessore Road
Ichapur
Durganagar
Paikpara
GARIA STATION ROAD
Basuri Bagan
College Square
Anandapuri
salt lake sec iii
Sector V
Metropolitan CoOperative Housing Society Limited Tangra
Khalisha Kota
Baruipur
North Dumdum
Nawapara
Bondal Gate
Bikramgarh
Rajbari
Jorabagan
Parui Mauza
Gauranganagar
VIP Haldiram
Narayanpur
Chandannagar
Jodhpur Gardens
Katju Nagar
Poddar Nagar
Nazirabad
Kumarkhali
Bediadanga
Buroshibtala
Kudgat
Park Side Road
Residential Flat Haridevpur
Nimta
Purba Sinthee Bye Lane
Metiabruz
Hedua
Raja Bazar
Action Area II
City Centre 1
Nazrul Islam Avenue
Rajarhat Gopalpur
Dash Drone
Action Area 1B
Airport road
Kolkata Airport Road
VIP Road
Ruby Hosp Main Road
Halisahar Station Road
Hanapara
Action Area 1A
Raja Basanta Roy Road
Haridebpur
Kudghat Bridge
Halisahar
Sangareddy
Bandel
Baidyabati
Titagarh
Bipin Pal Road
Bangur
Jadubabur Bazar
Tikiapara
Garden Reach
Duillya
Sukanta Nagar Sector IV
Balia Garia Road
Digberia
Diamond Park
Balitikuri
Manikpur Rajbari
City Center
Ballygunge Place East
Metropolitan
Narkel Bagan New Town
Andul Mauri
Chunavati
Sector 5 Road
Rabindra Sarovar
Ekdalia
Swiss Park
Indian Institute Of Engineering Science And Technology
Phoolbagan Crossing
Bedia Danga Kasba
Akra
Belgachia
Milk Colony
Pailan
Kadam Tala
Mudialy Road
Rabindra Sarova Metro
Pallisree
Beniapukur
Mahamayatala
purbalok
Ajay Nagar
Barabazar Market
Lal Bazar
Sahid Nagar Road
Bidhan Pally
Prince Anwar Shah Road Tollygunge
Purbachal Road
Baishnabghata Patuli Township
Babu Bagan
Sukanta Nagar
Banamalipur
Chetla
Park Street
Ritchie Road
Mayfair Road
Ballygunge Circular Rd
Sarat Bose Road
Gurusaday Road
Iron Side Road
Ballygunge Park
Hastings
Shyam Bazar
Mahisbathan Road
Patipukur
Mohisbathan
Harinavi
Mauza Panchpota
New Town Rajarhat
Kanchrapara Loco
Tiljala Road
Mandirtala
Ponmar
Narayantala West
Belur
Newtown Action Area 1A
Action Area IIB New Town
Bablatala Kalipark
Makardah
Bangur Block C
Syed Amir Ali Avenue
Basak Bagan
Beliaghata Main Road
Rashbehari
Chkravarti Para
Eastend Park Kalikapur
Sector 1 Salt Lake City
