locality
Mundhwa
Wakad
Wagholi
Kothrud
Yerawada
Ganj Peth
Pimple Saudagar
Hinjewadi
Dhanori
Nigdi
Bopkhel
Viman Nagar
Dhayari
Pimple Nilakh
Chakan
Chinchwad
Kharadi
Kalyani Nagar
Ravet
Lohegaon
Parvati Darshan
Chikhali
Baner
Pimple Gurav
Bhosari
Undri
Dighi
Sus
Hadapsar
Sinhgad Road
Tathawade
Ambegaon 1
Karve Nagar
Bavdhan
Warje
Kondhwa
Manjari
Daund
Manjari Budruk
Wadegaon
New Sangavi
Pimpri
Alandi
Gahunje
Wadgaon Sheri
Sopan Baug
Katraj
Bhawani Peth
Anand Nagar
Siddharth nagar
Thergaon
Talwade
Tingre Nagar
Akurdi
Sangamvadi
Pirangut
Kasba Peth
Wanowrie
Aundh
Balewadi
Handewadi
New Kalyani Nagar
Punawale
Fursungi
Budhwar Peth
Dhayari Phata
Talegaon Dabhade
Ambegaon Budruk
Pashan
Rahatani
hingne Khurd
NIBM Annex Mohammadwadi
Ganesh Nagar
Magarpatta
Wanwadi
Ghorpadi
Koregaon Park
Vadgaon Budruk
Chandan Nagar
Mahalunge
Shewalewadi
Vishrantwadi
Hinjewadi Phase 1
Ambegaon Pathar
Shivaji Nagar
Khadki
Manjari Khurd
Agalambe
Nanded
Charholi Budruk
Shivane
Bhugaon
Rasta Peth
Kondhwa Budruk
NIBM Annexe
Mohammed wadi
Sinhagad Fort
Ashok Nagar
Perugate
Morwadi
Sunarwadi
Khadakwasla
Old Sangvi
Dhankawadi Police Station Road
Erandwane
Dhaygude Wada
Karegaon
Nere
Bibwewadi
Moshi
Yashwantnagar
Fatima Nagar
Bhukum
Koregaon Bhima
Deccan Gymkhana
Sheela Vihar Colony
Sasane Nagar
Kalewadi
Warje Malwadi
Jambhe
Shukrawar Peth
Bhegade Aali
Vakil Nagar
Rambaug Colony
Sadashiv Peth
Shaniwar Peth
Sanaswadi
bavdhan patil nagar
Bund Garden
Vikas Nagar
Gultekdi
Vadgaon
Narhe
Talegaon
Balaji Nagar
Pimpri Chinchwad
Mangawadi
Dattwadi
Ubale Nagar
DP Road
Shinde Vasti
Nigdi Sector 24
Vishal Nagar
Baramati
Law College Road
Dange Chowk
Keshav Nagar
Bopodi
Koregaon Park Annexe
Satara road
Ghorapdi
Akurdi Chowk
Dhanakwadi
Pradhikaran Nigdi
Yamuna Nagar
Shivtirth Nagar
Happy Colony
Somwar Peth
Ideal Colony
Chinchwad Gaon
NIBM
Jambhulwadi Road
Handewadi Road
Pisoli Road
bhusari colony
Wadgaon Budruk
Paud Road
Chikhali Sector 16
Bhairav Nagar
Dhanukar Colony
Karve Road Kothrud
Wagholi Road
Vijay Nagar
Kalewadi Phata PimpriChinchwad
Adarsh Nagar Kiwale
Kothrud Depot Road
Vanaz corner
Ramkrishna Paramhans Nagar
Bhelkenagar
Chandani Chowk
Eklavya Colony
Dhole Patil Road
Awhalwadi
Kasarwadi
Satar Nagar
Lulla Nagar
Kausar Baugh
Salunke Vihar
Vishal Nagar Main
Kolwadi
Loni Kalbhor
Bhusari colony right
Bhusari colony left
Kharadi bypass
Bharati Vidyapeeth
Market yard
Kalyani Nagar Annexe
Wanawadi Gaon
Dehu Road Cantonment
Dattavadi
Ambegaon PuneMumbai Hwy
Bibwewadi Kondhwa Road
Mamurdi
Mulshi
Walvekar Nagar
BT Kawde
Dhankawadi
Kondhwa Khurd
Sukhsagar Nagar
Shikshak nagar
Pune Satara Road
Dhankawadi Road
katraj kondhwa road
Kirkatwadi
Dhamalwadi Bhekrai Nagar
Boat Club Road
Gururaj Society
Sector No1 Bhosari
Shantiban Society
Teen Hatti Chowk Road
Sahakar Nagar II
Mohan Nagar
Pune Satara Rd
Bharati Vidyapeeth Campus
Wakad Pune
Pune Solapur Road
Taljai Road
Hadapsar Gaon
Wagholi Kesnand Wadegaon Road
Yewalewadi
Dashrath Nagar Bhekrai Nagar
Raviwar Peth
Baner Road
Mahalunge Ingale
Someshwarwadi
Baner Pashan Link Road
Manjri Village Road
Laxman Nagar
Rajas Society
National Society
Ganesh Peth
Jambhul
ITI road
L&T Labour Colony
Kokane Mala
AWHO Hadapsar Colony
